,Formulation,Salt-A,Salt-B,Salt-C,Solvent-A,Solvent-B,Solvent-C,Additive-A,Additive-B,Measurement-1,Measurement-2,Measurement-3
0,F_pred-0,0.013321780079307177,0.020514240161567,0.36468801621337077,0.550311176724994,0.00868139342480978,0.002188868939249633,0.007145416828996165,0.03314910762770551,580.4322114870447,1.8241199713342704,580.4322114870447
1,F_pred-1,0.002696507443598839,0.11612974769861717,0.40483248531906435,0.42606684747104295,0.00033722179272555053,0.0019292660657254102,0.02099324545840442,0.027014678750821308,539.8333128460072,2.1827554027936262,539.8333128460072
2,F_pred-2,0.17751909677470512,0.07558531016498826,0.14722292329767483,0.5704702769381457,0.013943215672501785,0.007878864906218919,0.00011998504693189194,0.007260327198833516,532.7256269618374,1.939578331531786,532.7256269618374
3,F_pred-3,0.014470332138365238,0.020694795730028748,0.4520150103443843,0.4008883335899217,0.04535189906246562,0.02970579953366348,0.03661154119887422,0.00026228840229669537,532.3638394043373,2.1204097103370767,532.3638394043373
4,F_pred-4,0.12496909254363497,0.030987276548174902,0.26666814663021965,0.4902823168341097,0.005424245804316219,0.014854576855753754,0.03369962908100432,0.03311471570278646,526.2258909083903,1.9442716803640767,526.2258909083903
5,F_pred-5,0.1826555353240612,0.18614079354681112,0.13957421556397742,0.41971598095885543,0.04570494886501464,0.02090091823267537,0.0013021603132123971,0.00400544719539242,516.8726865341596,2.321766741588495,516.8726865341596
6,F_pred-6,0.010912247273205056,0.12880497193709262,0.30786135460449393,0.43360009153210743,0.07686289616266939,0.020176277208110105,0.0037068125107829752,0.01807534877153849,515.7493500591809,1.9185727196647822,515.7493500591809
7,F_pred-7,0.25576339030840545,0.2524628544305678,0.010176876929410605,0.379716698517618,0.0017950924296795678,0.009938704127587905,0.044586230655990766,0.04556015260073987,493.8471442776208,2.654212240977426,493.8471442776208
8,F_pred-8,0.2946461736677961,0.09546576256431825,0.04019504278359192,0.48505612601178133,0.029977798641084526,0.044540367640128496,0.010118719071509345,9.619790075632295e-09,493.5559341245098,2.146140656894965,493.5559341245098
9,F_pred-9,0.020884618569254276,0.00535967674102511,0.31753672630155605,0.5152837424560907,0.011937826633792281,0.05885043028025694,0.041343120769424035,0.028803858248600656,492.727179652662,1.7612493149651236,492.727179652662
