Formulation,Measurement-1,Measurement-2,Measurement-3
F-0,17.1998237,2.283883452,335.6164037
F-1,24.53868512,1.33639739,213.8504732
F-2,18.14092274,1.957011422,322.3426741
F-3,13.12048032,1.904744862,304.6127518
F-4,21.14515104,1.594739034,294.8211463
F-5,25.29318026,1.334049441,265.0142321
F-6,18.83603149,2.113635782,323.9354261
F-7,20.44056133,1.494516042,214.9358117
F-8,28.22659721,1.624675145,191.8424538
F-9,24.22432618,1.450082149,238.6815904
F-10,23.63485319,1.507255255,268.0424865
F-11,18.45053415,2.09855887,302.6207471
F-12,20.82795247,2.002787892,346.8272891
F-13,25.04796288,1.846266617,257.4853816
F-14,18.76090777,2.182713488,306.782024
F-15,22.7497435,1.73036672,227.7063799
F-16,26.73117943,2.201718143,327.5140291
F-17,25.45144942,1.651597175,192.9427757
F-18,22.60229846,1.981889921,375.2957472
F-19,13.52403815,1.930930502,262.4024281
F-20,10.15416737,2.146693419,387.4708507
F-21,21.32860702,1.743662804,258.7449686
F-22,22.93528457,2.15906345,305.2442521
F-23,14.65443055,0.954513513,224.0475802
F-24,33.25336831,1.44376833,231.3522554
F-25,18.58043059,1.78140705,290.7091088
F-26,24.7462104,2.51134554,333.017707
F-27,28.64739504,1.427002934,202.108058
F-28,31.59720272,1.72628445,278.7767724
F-29,23.75087712,1.602555627,255.7923625
F-30,22.91073986,1.982458326,289.1168258
F-31,23.9113808,1.643154631,286.5808824
F-32,30.72038578,2.541681568,376.1662172
F-33,27.80540457,1.145107094,237.3191608
F-34,20.18796784,1.83208065,278.1014878
F-35,32.03113162,1.900819821,176.0150912
F-36,30.52243088,1.643525466,268.7942235
F-37,27.84389933,2.091721375,294.3321931
F-38,27.43528446,2.71231998,311.2201342
F-39,21.41931695,1.69757813,303.7568639
F-40,25.60826483,2.158112018,373.0674948
F-41,23.73097451,1.501648745,269.4317625
F-42,30.47799713,2.2594138,242.0589781
F-43,19.37111493,2.19267792,284.5731965
F-44,40.68389085,1.850654295,114.9756087
F-45,36.79251816,2.158446022,144.4378585
F-46,39.67884013,2.587038927,137.1966128
F-47,32.56275102,2.158785297,304.8866758
F-48,24.5156743,2.234853377,284.3410464
F-49,30.90080515,2.036036511,262.8817167
F-50,22.815146,2.291117131,258.7221511
F-51,35.43041371,1.893179222,255.3967027
F-52,31.59815422,1.838301163,167.948812
F-53,32.02651721,1.426648376,199.8205077
F-54,30.39718133,1.540015849,255.7882271
F-55,26.69726765,1.868047751,274.6198925
F-56,27.13340074,2.069131319,282.5338505
F-57,27.22110862,1.950543335,262.4126313
F-58,30.57668554,2.234398065,294.9292178
F-59,23.33393659,1.514585775,213.2965366
F-60,45.31892532,2.340207668,83.12103143
F-61,36.90276348,2.316144588,224.8215208
F-62,40.34502564,2.364349344,198.4968627
F-63,23.82265072,1.911224226,273.1584481
F-64,24.4964665,2.183111312,283.2136695
F-65,44.88320586,1.933027666,95.61681335
F-66,28.62819649,2.448505284,380.747206
F-67,47.02782268,2.578238178,108.0236178
F-68,44.22951915,2.882738364,102.5401043
F-69,39.26128879,2.138428504,143.9886212
F-70,45.73614101,2.533724447,127.635454
F-71,37.16503679,1.825425072,155.3329605
F-72,39.64654142,2.111652951,129.5570572
F-73,57.49105164,3.389080206,55.79066127
F-74,39.85297412,2.302109598,302.7653882
F-75,49.35404079,3.117635552,84.60763944
F-76,31.9643402,2.422347443,188.2303502
F-77,38.83291156,2.452858634,81.73129728
F-78,47.8275296,2.197210812,98.22407218
F-79,33.86685549,2.580424926,199.231019
F-80,37.43642097,2.56291656,195.1291644
F-81,31.13708807,2.059650014,191.349552
F-82,37.36304558,2.843711694,171.7432881
F-83,46.77511022,2.069060182,61.07118624
F-84,63.91467431,2.439470881,67.96161832
F-85,45.71512699,3.067208001,100.536348
F-86,46.77341756,2.32761617,80.58535227
F-87,35.58886159,2.038633082,102.4344123
F-88,59.75802645,2.043268544,72.0759522
F-89,64.03177756,2.468121641,67.78265753
F-90,50.15093007,2.055546899,58.67877453
F-91,66.31263663,2.869599719,51.36813178
