,Formulation,Salt-A,Salt-B,Salt-C,Solvent-A,Solvent-B,Solvent-C,Additive-A,Additive-B,Measurement-1,Measurement-2,Measurement-3
0,F_pred-0,0.25996483760532635,0.28953276370177655,0.004751202224569864,0.4146847640717697,0.010335634199261572,0.015516053976952493,0.0052050636254092975,9.680594934335929e-06,30.35998067665315,2.69322266894104,418.6816514727834
1,F_pred-1,0.19210276106467794,0.14675467191557384,0.15334035721188902,0.43950756792346496,0.007186059157722887,0.03617934097699678,0.013459777627295196,0.011469464122379258,24.141523128515388,2.235371130113414,415.7790163709142
2,F_pred-2,0.24086429595582892,0.26859785666145347,0.014827128958146463,0.3066646638789943,0.022306319040772633,0.10662150706677566,0.04011301420216938,5.2142358590856475e-06,30.919809397999472,2.6256568917714986,414.48955488944193
3,F_pred-3,0.2523039900571311,0.26245791598597035,0.03451094357794804,0.253326550911966,0.029247745615863407,0.1552599794612095,0.0011770888256749101,0.011715785564236691,32.218200200352385,2.709867934633735,410.98311033134814
4,F_pred-4,0.16851184137173544,0.024776503481512013,0.3612516419870292,0.41864425695818464,0.002914177516705456,0.01760267871314065,0.006265585921260949,3.3314050431720865e-05,25.95271118209409,2.272426612325688,406.64733625372173
5,F_pred-5,0.18838783744243223,0.074783323700637,0.20369385878911483,0.4269949361881664,0.005500845585221371,0.06132742858522342,0.03931147442026173,2.9528894296415586e-07,22.17773330077526,2.0937519752438263,406.0617676948459
6,F_pred-6,0.19710851796316117,0.2068905244716396,0.058523488753168804,0.24578647174317683,0.008567347880454974,0.23617409777440546,0.0469493364892021,2.149247910754326e-07,25.840181743589397,2.3743157784418685,405.9608462497854
7,F_pred-7,0.1273025783102465,0.15117533807500727,0.196653423727839,0.4333834343388139,0.013896376236034014,0.038349661104118415,0.02120849017942472,0.0180306980285162,23.63041675021043,2.151773656166341,405.38204949545616
8,F_pred-9,0.37841771083681097,0.21154683343790326,0.004139008619353901,0.36998348876491594,0.0038655438450360124,0.0013726912369003141,0.016859512537171772,0.013815210721907834,33.581051783481826,2.7914198284545577,403.53638948334265
9,F_pred-10,0.19293401960518153,0.23283439450719284,0.006457008149743307,0.3700929075405038,0.0024207731387392312,0.10880502534021406,0.08644871565285733,7.156065567892611e-06,24.54655646334811,2.284713778628948,403.4824184347817
